year;fuel;electrical-efficiency;source;variable-cost;source
2015;biomass;45.5;DIW 2013;0;
2015;hard_coal_ccgt;48;;6;
2015;hard_coal_st;39;DIW 2013 (Coal - PC w/o CCTS (Subcritical));6;DIW 2013
2015;lignite;43.4;DIW 2013;7;DIW 2013
2015;gas_ccgt;60.2;DIW 2013;4;DIW 2013
2015;gas_ocgt;39.1;DIW 2013 (Gas Combustion Turbine w/o CCTS);3;DIW 2013
2015;gas_st;41.1;DIW 2013;3;DIW 2013
2015;nuclear;33.2;DIW 2013;8.5;DIW 2013
2015;oil;41;DIW 2013;3;
2015;waste;41;;3;
