timeindex;AT-reservoir-profile;BE-reservoir-profile;CH-reservoir-profile;CZ-reservoir-profile;DE-reservoir-profile;DK-reservoir-profile;FR-reservoir-profile;LU-reservoir-profile;NL-reservoir-profile;NO-reservoir-profile;PL-reservoir-profile;SE-reservoir-profile
2015-01-01T00:00:00Z;1269.6320273696767;36.004947000270576;2689.1706027450155;214.68442674937182;263.3643659360678;0.0;2371.254027824141;3.577450439152343;0.0;14497.905416906973;88.29334488789351;3869.6960552494756
2015-01-01T01:00:00Z;1269.5287701998489;36.00870819052114;2688.498978223601;215.07597101872238;262.39011627953835;0.0;2370.939559059982;3.577450439152343;0.0;14669.775267915289;87.96669841920881;3887.1205496775788
2015-01-01T02:00:00Z;1268.964644195499;36.01017873801037;2687.309779604324;216.479185879797;262.3939895121158;0.0;2370.2622055095435;3.577450439152343;0.0;14306.326599745229;88.49826162200752;3875.0941157312295
2015-01-01T03:00:00Z;1268.442373434537;36.017114168822374;2686.3228057608776;218.84940893542333;261.4902965918643;0.0;2369.835028582403;3.5791876759342;0.0;14313.57906372352;88.93919268824219;3786.3681068896867
2015-01-01T04:00:00Z;1267.982635821999;36.056175613630934;2685.109737558792;221.5073650487626;261.30007872431673;0.0;2369.8269812808003;3.5799804015190544;0.0;14929.695755175195;88.6751566166296;3773.018217544042
2015-01-01T05:00:00Z;1267.6759436006057;36.08159200113603;2682.8851241158677;225.7179125553205;261.2399023363043;0.0;2369.4812343515873;3.5746150564395243;0.0;14070.2417646333;88.13070107492835;3679.634851417188
2015-01-01T06:00:00Z;1267.4739421606537;36.10442694355181;2681.8059691244334;224.19635765169556;260.5664615195771;0.0;2369.5483696884435;3.5799804015190544;0.0;13848.599502161287;88.95599417920903;3588.8075763847037
2015-01-01T07:00:00Z;1354.4191449463367;32.59208268609095;2782.970934787477;223.38294089565193;263.9891779339025;0.0;2324.952711387926;2.9540423966797906;0.0;13944.640198327961;78.5549976475177;3305.514115792488
2015-01-01T08:00:00Z;1353.9521631405346;32.59139747770733;2781.654954732071;231.14327979052206;263.4382839799717;0.0;2324.623521815262;2.954351767447693;0.0;13064.049457554898;75.96927558294195;3246.8961835457903
2015-01-01T09:00:00Z;1354.4594870404135;32.61589697728199;2779.64232057627;233.56750243024248;263.8306717762119;0.0;2324.7977051955454;2.9543515755799894;0.0;12472.973753677219;77.12048688260207;3111.14806670558
2015-01-01T10:00:00Z;1353.5775609647246;32.608200990556576;2776.51966041802;236.60910922063698;266.88023260561084;0.0;2327.2299684060154;2.954774337696841;0.0;12103.30882838654;78.2627148874869;3016.0203372034316
2015-01-01T11:00:00Z;1353.9012484305144;32.683573456126915;2777.0680563757196;243.64827443235805;272.1423324529653;0.0;2334.684760687938;2.96526489262661;0.0;12009.498349044004;79.97097005513524;2995.157058594652
2015-01-01T12:00:00Z;1353.8511812639756;32.69645755811567;2774.538838951716;258.1185521125331;280.2177064422337;0.0;2475.821644372569;2.9798363083936024;0.0;11953.593648609945;79.50169252758322;3031.0994867184004
2015-01-01T13:00:00Z;1356.3118817948018;32.96077178762548;2780.955934982865;256.2763935851468;282.8855011695618;0.0;2559.050128190886;3.047305398578563;0.0;11990.182894276379;78.41699804491587;3068.6250966850134
2015-01-01T14:00:00Z;1359.244474657333;32.92290470570627;2775.016214851264;232.00147395203476;277.5107814947136;0.0;2589.7053923175963;3.06829272795335;0.0;11683.444468777858;75.05080047368502;3035.6261569954218
2015-01-01T15:00:00Z;1352.705878337716;32.71425387265798;2770.6859277248664;210.90286030952024;265.5484205264011;0.0;2466.6180028424983;3.0026919621862582;0.0;11407.296534405725;72.39568184794794;2961.449300957381
2015-01-01T16:00:00Z;1350.9321059810418;32.712064653671405;2768.553590719229;209.13429074504208;262.15807627531444;0.0;2330.054101356976;2.986419454079831;0.0;11315.738561081074;71.28999829208252;2974.5901456024576
2015-01-01T17:00:00Z;1350.4721987392238;32.726633754853395;2766.0422991341584;209.25968931820762;262.12548757967556;0.0;2322.8031055461124;2.9794621723368357;0.0;11135.328156116124;70.3989312854357;2956.401884171662
2015-01-01T18:00:00Z;1349.9626261176159;32.77625358637605;2763.6548306833806;209.25674488684496;261.8734585745131;0.0;2322.047959783703;2.9801532597027443;0.0;10919.635621119105;70.24739109552014;2902.710822655801
2015-01-01T19:00:00Z;1349.4192170658175;32.78973468218475;2763.5705382231154;209.00713186583343;261.69911610649825;0.0;2321.513631257567;2.983329429485249;0.0;11170.05002183791;70.02489760917523;2876.0168112592837
2015-01-01T20:00:00Z;1347.5967973501402;32.81485649100936;2759.366078571553;209.63882629261153;261.77941784865607;0.0;2320.9844076198196;2.9842019463513423;0.0;11823.338849744921;69.85267039548866;2900.3982203322403
2015-01-01T21:00:00Z;1347.5283975178147;32.80888420184351;2761.194566318118;208.9375838656654;261.8931576418993;0.0;2320.7230808069553;2.983329429485249;0.0;12107.204899276232;69.82210725321478;2885.562905959147
2015-01-01T22:00:00Z;1347.173087387091;32.8199179129189;2759.6724038742504;208.995618401605;261.84532047989296;0.0;2320.569564651942;2.9835833912043292;0.0;12404.244905239415;69.7381409700438;2879.201799076348
2015-01-01T23:00:00Z;1345.962142517824;32.82191854819054;2757.7289362213382;209.1125345978208;262.0023430468708;0.0;2320.7381174091856;2.9835833912043292;0.0;13098.73296857957;69.74767813745909;2912.4582670670666
2015-01-02T00:00:00Z;1345.4598741068685;32.825062474533894;2756.9358259222;209.11587812026173;262.34911663422;0.0;2321.632991779132;2.9786758311466723;0.0;13859.84831165681;69.79768725696138;2931.2110276318404
