timeindex;AT-pv-profile;AT-wind-onshore-profile;BE-pv-profile;BE-wind-offshore-profile;BE-wind-onshore-profile;CH-pv-profile;CH-wind-onshore-profile;CZ-pv-profile;CZ-wind-onshore-profile;DE-pv-profile;DE-wind-offshore-profile;DE-wind-onshore-profile;DK-pv-profile;DK-wind-offshore-profile;DK-wind-onshore-profile;FR-pv-profile;FR-wind-offshore-profile;FR-wind-onshore-profile;LU-pv-profile;LU-wind-onshore-profile;NL-pv-profile;NL-wind-offshore-profile;NL-wind-onshore-profile;NO-pv-profile;NO-wind-offshore-profile;NO-wind-onshore-profile;PL-pv-profile;PL-wind-offshore-profile;PL-wind-onshore-profile;SE-pv-profile;SE-wind-offshore-profile;SE-wind-onshore-profile
2015-01-01T12:00:00Z;0.26;0.238357;0.279;0.686743;0.330966;0.48;0.238357;0.083;0.238357;0.208;0.8244290000000001;0.238357;0.006999999999999999;0.783938;0.642877;0.404;0.21198699999999998;0.165365;0.475;0.238357;0.118;0.709168;0.476249;0.011;0.790313;0.654408;0.045;0.9590690000000001;0.37340500000000004;0.003;0.9590690000000001;0.555113
2015-01-01T13:00:00Z;0.203;0.271928;0.184;0.731332;0.387123;0.382;0.271928;0.069;0.271928;0.131;0.837499;0.271928;0.001;0.7977890000000001;0.647907;0.328;0.27009;0.173534;0.3720000000000001;0.271928;0.084;0.7335079999999999;0.509813;0.001;0.8517110000000001;0.65471;0.021;0.9603280000000001;0.378565;0.0;0.9603280000000001;0.570874
2015-01-01T14:00:00Z;0.08800000000000001;0.326446;0.075;0.757314;0.441147;0.215;0.326446;0.022;0.326446;0.039;0.859856;0.326446;0.0;0.796766;0.664849;0.211;0.412822;0.189522;0.173;0.326446;0.043;0.767456;0.54737;0.0;0.8803559999999999;0.65257;0.002;0.944607;0.39270700000000003;0.0;0.944607;0.5759310000000001
2015-01-01T15:00:00Z;0.002;0.36557199999999995;0.005;0.786876;0.509478;0.028;0.36557199999999995;0.0;0.36557199999999995;0.0;0.8813059999999999;0.36557199999999995;0.0;0.8015939999999999;0.700615;0.07;0.5980979999999999;0.23224299999999998;0.009000000000000001;0.36557199999999995;0.001;0.805299;0.586259;0.0;0.9226770000000001;0.63694;0.0;0.9245559999999999;0.399415;0.0;0.9245559999999999;0.570707
2015-01-01T16:00:00Z;0.0;0.38281;0.0;0.820687;0.552446;0.0;0.38281;0.0;0.38281;0.0;0.9021629999999999;0.38281;0.0;0.832736;0.746693;0.0;0.692058;0.28279099999999996;0.0;0.38281;0.0;0.8380219999999999;0.6229140000000001;0.0;0.961483;0.6351829999999999;0.0;0.932185;0.390955;0.0;0.932185;0.571034
2015-01-01T17:00:00Z;0.0;0.404949;0.0;0.8534069999999999;0.578878;0.0;0.404949;0.0;0.404949;0.0;0.9294879999999999;0.404949;0.0;0.864916;0.779817;0.0;0.717068;0.325508;0.0;0.404949;0.0;0.873468;0.668572;0.0;0.98634;0.629459;0.0;0.9458629999999999;0.394811;0.0;0.9458629999999999;0.557912
2015-01-01T18:00:00Z;0.0;0.43760699999999997;0.0;0.877114;0.611591;0.0;0.43760699999999997;0.0;0.43760699999999997;0.0;0.9530879999999999;0.43760699999999997;0.0;0.8872040000000001;0.811533;0.0;0.738535;0.360861;0.0;0.43760699999999997;0.0;0.90266;0.7118369999999999;0.0;0.991226;0.605372;0.0;0.9378780000000001;0.414491;0.0;0.9378780000000001;0.553481
2015-01-01T19:00:00Z;0.0;0.47919700000000004;0.0;0.8966860000000001;0.6457930000000001;0.0;0.47919700000000004;0.0;0.47919700000000004;0.0;0.965368;0.47919700000000004;0.0;0.9068809999999999;0.8520409999999999;0.0;0.777932;0.38684;0.0;0.47919700000000004;0.0;0.926314;0.750581;0.0;0.9910030000000001;0.5208229999999999;0.0;0.9247270000000001;0.43039799999999995;0.0;0.9247270000000001;0.5569810000000001
2015-01-01T20:00:00Z;0.0;0.520053;0.0;0.9093950000000001;0.671103;0.0;0.520053;0.0;0.520053;0.0;0.9726629999999999;0.520053;0.0;0.9289440000000001;0.880124;0.0;0.810014;0.398959;0.0;0.520053;0.0;0.9349790000000001;0.784233;0.0;0.990886;0.439917;0.0;0.93294;0.446085;0.0;0.93294;0.564178
2015-01-01T21:00:00Z;0.0;0.552876;0.0;0.9221870000000001;0.69421;0.0;0.552876;0.0;0.552876;0.0;0.976273;0.552876;0.0;0.948055;0.8977229999999999;0.0;0.829411;0.40432199999999996;0.0;0.552876;0.0;0.940932;0.806666;0.0;0.984994;0.403016;0.0;0.958131;0.453545;0.0;0.958131;0.573023
