timeindex;AT-load-profile;BE-load-profile;CH-load-profile;CZ-load-profile;DE-load-profile;DK-load-profile;FR-load-profile;LU-load-profile;NL-load-profile;NO-load-profile;PL-load-profile;SE-load-profile
2015-01-01T00:00:00Z;9.922792401335871e-05;0.00010671015991609911;0.0001231545925617301;9.54550564018333e-05;8.816343327416966e-05;9.468159132580901e-05;0.0001508271243466881;7.560354324388232e-05;0.0001001147310579516;0.00012025314674837154;9.153203507529457e-05;0.00010921317085974249
2015-01-01T01:00:00Z;9.481811326175172e-05;0.00010198130633723525;0.0001191423599897203;9.378648186710468e-05;8.503834771901514e-05;9.07279193913564e-05;0.00014594010228089437;7.228204866622221e-05;9.639729396363183e-05;0.00011740829821176085;8.693075981651901e-05;0.00010707231314871621
2015-01-01T02:00:00Z;9.06524939849894e-05;9.802690520553023e-05;0.00011819167034414369;9.2542921600656e-05;8.22972182105357e-05;8.659721737028651e-05;0.00013940638932363037;7.038405176470217e-05;9.247676648173638e-05;0.00011568273434529208;8.372320416511171e-05;0.00010496088303509237
2015-01-01T03:00:00Z;8.948899342837649e-05;9.48117541370223e-05;0.00011285814029862064;9.17401168716828e-05;8.107410049483875e-05;8.470889644636885e-05;0.0001358519985462945;6.927688690548213e-05;9.006617188138176e-05;0.00011468781463849927;8.28696342620345e-05;0.00010464453636301631
2015-01-01T04:00:00Z;9.079613602901569e-05;9.346232941848795e-05;0.00011351878903537727;9.021321375971415e-05;7.965504644604469e-05;8.550553183614662e-05;0.00013622335280661317;6.896055408856212e-05;8.990723157806168e-05;0.00011583819054947846;8.206274396303183e-05;0.00010571864366820475
2015-01-01T05:00:00Z;9.160053147556289e-05;9.393169453797816e-05;0.00011019943196777078;8.923725506958987e-05;7.680704257405776e-05;8.910514359736467e-05;0.00013671990650326784;6.880238768010211e-05;9.109928385296231e-05;0.00011761039127720315;8.204940693329625e-05;0.00010873497240195311
2015-01-01T06:00:00Z;9.59097927963515e-05;9.092775777324082e-05;0.00010665448752663764;8.816684876429227e-05;7.727610228056291e-05;9.299980550294483e-05;0.00013744776085349245;7.101671739854218e-05;9.373945889144595e-05;0.00011981786937664969;8.1229179604558e-05;0.00011107446639544574
2015-01-01T07:00:00Z;0.00010105217797249255;9.116244033298593e-05;0.00010575213803253102;8.895391222406991e-05;7.861401097928643e-05;9.624535709092832e-05;0.0001364122129732895;7.14912166239222e-05;9.602643325588496e-05;0.00012099933652846616;8.078238910841603e-05;0.00011205293400907632
2015-01-01T08:00:00Z;0.00010620892735303624;9.223024597982615e-05;0.0001097643706045408;9.62578611308065e-05;8.318585875155179e-05;0.00010223487502147966;0.0001387146093872653;7.14912166239222e-05;9.911693915377552e-05;0.000123214587438122;8.395660218548439e-05;0.0001136861656649108
2015-01-01T09:00:00Z;0.00011160986820842461;9.495256367286936e-05;0.00011021554535159411;0.00010201916565637889;8.839103608534306e-05;0.00010604102188375118;0.00014043981517948862;7.402187915928227e-05;0.00010391163830393143;0.00012468364856768328;8.791103150208425e-05;0.00011665099610320491
2015-01-01T10:00:00Z;0.00011232807842855603;9.79330321816322e-05;0.00010655780722369764;0.00010403404811340967;9.44096460747192e-05;0.00011096835929459883;0.00014202072331627385;7.702704092002237e-05;0.00010808823627450922;0.00012640921243415205;9.181878121460957e-05;0.00011902727459345057
2015-01-01T11:00:00Z;0.00011051818867382483;0.00010012731411524892;0.00011501733373094719;0.00010537205599503168;9.655109165462878e-05;0.00011315173036287863;0.0001455199414606481;7.939953704692244e-05;0.00010927145853255874;0.00012924628816055343;9.473959072670188e-05;0.00012091064082720564
2015-01-01T12:00:00Z;0.00010866520630588574;9.954060771588616e-05;0.00011395385039860724;0.00010631653214676486;9.512610014119542e-05;0.00011412539583927368;0.00013820532354454255;7.81342057792424e-05;0.00010978359950992346;0.00013079307739220788;9.740699667381814e-05;0.00012199210503174469
2015-01-01T13:00:00Z;0.00010728624268323339;9.815598061339005e-05;0.00011409887085301724;0.00010804807175827568;9.320631990781992e-05;0.00011468599111356174;0.00013210025950490353;7.734337373694238e-05;0.0001103045705041393;0.00013132162848644154;9.77204168726043e-05;0.00012371361947978644
2015-01-01T14:00:00Z;0.00010889503357632779;9.88482941646381e-05;0.00011403441731772392;0.00010913421933276884;9.33468399042835e-05;0.00011804956275929006;0.0001299867232576041;7.734337373694238e-05;0.00011008382008286141;0.00013372342684112108;9.883405885552533e-05;0.00012713457767781812
2015-01-01T15:00:00Z;0.00011716881531224189;0.00010085483005045874;0.00011801442312208704;0.0001115268922504929;9.830264372322394e-05;0.00012551433141165207;0.00013243341732701802;7.924137063846244e-05;0.00011396902749735238;0.00013589204088952102;0.00010724972461867714;0.0001293857888791035
2015-01-01T16:00:00Z;0.00012149244083743312;0.00010871669580191975;0.0001227517579661468;0.00011341584455395925;0.00010726425701881592;0.00013306761510732272;0.0001461501826910175;8.604252620224264e-05;0.0001241147168592845;0.0001338633374248888;0.00011023721927944736;0.00012957706826221922
2015-01-01T17:00:00Z;0.000120530039142457;0.00011153288651886101;0.00012571662058963995;0.00011277045251694158;0.00010868331106760996;0.00013138582928445854;0.00015221917231679697;8.825685592068271e-05;0.00012474164805571374;0.0001322465929013505;0.00010977042323870202;0.00012777462792132083
2015-01-01T18:00:00Z;0.00011603404316443423;0.00011096964837547275;0.00012418584912642338;0.00011031481452243531;0.00010669228125856281;0.000124953736137364;0.00015305312788425549;8.77823566953027e-05;0.00012325820522472627;0.00013079307739220788;0.00010975708620896644;0.00012515557175250515
